Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"C1","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.537500,-67.250000,0.000000,top
"C2","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",162.462500,-67.250000,180.000000,top
"C3","100n","C_0805_2012Metric",173.000000,-70.500000,-90.000000,top
"Q1","BSS138","SOT-23",161.250000,-56.312500,-90.000000,top
"Q2","BSS138","SOT-23",157.750000,-56.312500,-90.000000,top
"Q3","BSS138","SOT-23",171.562500,-66.800000,180.000000,top
"Q4","BSS138","SOT-23",168.550000,-55.375000,90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.500000,-53.400000,180.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.500000,-51.450000,180.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.750000,-69.000000,180.000000,top
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.000000,-64.000000,0.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.000000,-51.500000,0.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",171.000000,-53.500000,0.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.000000,-56.250000,180.000000,top
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.500000,-59.250000,180.000000,top
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.250000,-67.150000,180.000000,top
"SW1","Reset","SW_SPST_TS-1088-xR020",172.000000,-59.000000,-90.000000,top
"SW2","Flash","SW_SPST_TS-1088-xR020",159.500000,-63.225000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",165.000000,-61.750000,90.000000,top
